"Issue Type","Custom field (Patch Info)","Issue key","Issue id","Parent id","Summary","Assignee","Reporter","Priority","Status","Resolution","Created","Updated","Due Date"
"New Feature",,"CAMEL-12005","13118171",,"Add websocket support to camel-undertow","ppalaga","tdiesler","Major","Resolved","Fixed","14/Nov/17 08:18","13/Dec/17 10:39",
"Improvement",,"CAMEL-11250","13070429",,"File consumer - Allow to specify a header that has the file name to poll","davsclaus","davsclaus","Major","Resolved","Unresolved","09/May/17 14:18","13/Dec/17 08:32",
"Improvement",,"CAMEL-11749","13099915",,"NoTypeConversionAvailableException in wiretap","davsclaus","keegan","Major","Resolved","Not A Problem","05/Sep/17 18:47","06/Sep/17 14:56",
"Improvement",,"CAMEL-11683","13096349",,"Allow bean references in to() URI","davsclaus","keegan","Major","Resolved","Not A Problem","21/Aug/17 05:57","06/Sep/17 14:49",
"Bug",,"CAMEL-9222","12904845",,"Aggreagator breaks onCompletion semantic if used with parallelProcessing","davsclaus","dermoritz","Major","Resolved","Not A Problem","14/Oct/15 12:14","24/Apr/16 15:53",
"Bug",,"CAMEL-9694","12948765",,"StreamCaching does not work with FTP2-components localWorkingDirectory",,"jgogstad","Major","Resolved","Won't Fix","10/Mar/16 12:19","10/Mar/16 17:15",
"Bug",,"CAMEL-9143","12873010",,"Producers that implement the ServicePoolAware interface cause memory leak due to JMX references","davsclaus","ukcrpb6","Major","Resolved","Fixed","16/Sep/15 15:23","17/Sep/15 09:41",
"Improvement",,"CAMEL-6294","12642908",,"StreamCache doesn't work as expected","njiang","ulrich.kramer","Major","Resolved","Not A Problem","17/Apr/13 11:56","02/Mar/14 11:28",
"Improvement",,"CAMEL-5767","12614583",,"Camel Splitter eat up exceptions recorded by the underlying Scanner","muellerc","muellerc","Major","Closed","Fixed","02/Nov/12 22:12","27/Dec/13 14:14",
"Bug",,"CAMEL-6855","12673399",,"filecomponent bug","davsclaus","skycliff","Major","Closed","Invalid","11/Oct/13 09:30","11/Oct/13 09:35",
"Bug",,"CAMEL-4857","12537080",,"Endpoint URI normalization: information in path is lost","davsclaus","azarov","Major","Resolved","Fixed","03/Jan/12 17:08","02/May/13 02:29",
"Bug",,"CAMEL-6188","12637977",,"CXF cosumer should set Exchange's charset name, if content type provides one","njiang","fhoeben","Major","Resolved","Fixed","20/Mar/13 13:20","28/Mar/13 02:25",
"Bug",,"CAMEL-5925","12625887",,"NullPointerException in RouteContextProcessor","davsclaus","lombart","Major","Resolved","Fixed","03/Jan/13 18:20","05/Jan/13 07:41",
"Bug",,"CAMEL-5182","12551149",,"SpringXsltRouteFileTest and SpringXsltRouteTest Fail","njiang","jsherman1","Major","Resolved","Cannot Reproduce","17/Apr/12 00:36","17/Apr/12 13:20",
"Bug",,"CAMEL-4388","12520430",,"Exeptions cannot be propagated to the parent route when using LogEIP","davsclaus","szhemzhitsky","Major","Resolved","Fixed","27/Aug/11 10:52","27/Aug/11 16:31",
"Bug",,"CAMEL-3328","12487883",,"NPE on Request-Reply InOut (Test attached)","davsclaus","lkwg","Major","Closed","Fixed","11/Nov/10 14:25","24/Apr/11 09:58",
"Bug",,"CAMEL-2940","12485952",,"org.apache.camel.component.test package is imported in camel-spring component - generates error on OSGI platform","cmoulliard","cmoulliard","Major","Closed","Fixed","12/Jul/10 15:12","24/Apr/11 09:57",
"Bug",,"CAMEL-2378","12487786",,"Maven build not installing camel-spring-2.2-SNAPSHOT-tests","janstey","chrislovecnm","Major","Closed","Fixed","18/Jan/10 18:59","03/Nov/10 05:13",
"Bug",,"CAMEL-1427","12485565",,"java.lang.IllegalStateException: BeanFactory not initialized or already closed - call 'refresh' before accessing beans via the ApplicationContext","njiang","cmoulliard","Major","Closed","Fixed","05/Mar/09 14:55","07/Feb/10 09:55",
"Bug",,"CAMEL-1773","12486201",,"JMSReplyTo is not set when explicitly set by user","davsclaus","ericbouer","Major","Closed","Not A Problem","29/Jun/09 19:24","21/Nov/09 11:59",
"Improvement",,"CAMEL-1222","12486847",,"DeadLetterChannel - Snapshots for processor and (bean invocations) when doing redelivery",,"davsclaus","Major","Closed","Won't Fix","04/Jan/09 11:46","21/Nov/09 11:57",
"Improvement",,"CAMEL-1362","12486083",,"Close Mina session from server side","davsclaus","bouil","Major","Closed","Fixed","20/Feb/09 11:11","31/Jul/09 06:34",
"Bug",,"CAMEL-1037","12486175",,"Messages in Resequencer between 2 JMS queues get stuck","wtam","janstey","Major","Closed","Fixed","30/Oct/08 16:00","31/Jul/09 06:33",
"Bug",,"CAMEL-774","12485911",,"ResolverUtil under OSGi error: Could not search jar file '/org/apache/camel/converter'","davsclaus","ceefour","Major","Closed","Fixed","31/Jul/08 20:39","16/Feb/09 05:51",
"New Feature","Patch Available","CAMEL-101","12485063",,"SquelchBuilder",,"nnordrum","Major","Closed","Duplicate","13/Aug/07 23:40","23/Oct/08 20:03",
"Bug",,"CAMEL-650","12485213",,"log4j.properties in apache-camel-1.4.0.jar","hadrian","davsclaus","Major","Closed","Fixed","30/Jun/08 04:39","12/Jul/08 08:45",
"Bug",,"CAMEL-12970","13201673",,"Camel Maven Plugin: false postives with directOrSedaPairCheck","davsclaus","nimnio","Minor","Resolved","Won't Fix","30/Nov/18 17:02","30/Dec/18 10:19",
"Improvement",,"CAMEL-12944","13199319",,"camel-ribbon : Avoid potentially conflicting jetty port during test execution","onders","onders","Minor","Resolved","Fixed","19/Nov/18 12:21","04/Dec/18 07:49",
"Improvement",,"CAMEL-12519","13159717",,"camel-snmp - add treeList option of given PDU has child elements but will be resulted as list","onders","onders","Minor","Resolved","Implemented","16/May/18 12:48","02/Jul/18 09:23",
"New Feature",,"CAMEL-12534","13161667",,"create camel-testcontainers","lb","lb","Minor","Resolved","Fixed","24/May/18 05:12","08/Jun/18 08:00",
"New Feature",,"CAMEL-11665","13094108",,"Define a saga DSL and implementation for long running actions","nferraro","nferraro","Minor","Resolved","Done","11/Aug/17 14:24","11/Jan/18 09:53",
"Improvement",,"CAMEL-12125","13128531",,"Add keepOpen to the ThrottlingExceptionRoutePolicy circuit breaker","davsclaus","g1antfan","Minor","Resolved","Fixed","04/Jan/18 16:32","10/Jan/18 12:08",
"Improvement",,"CAMEL-11474","13083130",,"Camel-Hipchat: Allow configurable http client","ancosen","w4tson","Minor","Resolved","Fixed","28/Jun/17 13:07","03/Jan/18 11:11",
"New Feature",,"CAMEL-11959","13112717",,"New component YQL","carlphilipp","carlphilipp","Minor","Resolved","Fixed","27/Oct/17 22:35","07/Nov/17 15:44",
"Improvement",,"CAMEL-11964","13112996",,"Upgrade chemistry-opencmis to 1.1.0","jamesnetherton","jamesnetherton","Minor","Resolved","Fixed","30/Oct/17 11:05","30/Oct/17 13:53",
"Improvement",,"CAMEL-7490","12720234",,"Redelivery delay cannot be modified in asynchronous mode for multiple retries with different redelivery intervals for each retry specified in Exchange.REDELIVERY_DELAY header parameter.","davsclaus","ajaykapoor40","Minor","Resolved","Fixed","09/Jun/14 22:59","29/Nov/14 09:48",
"Bug",,"CAMEL-5592","12607166",,"Logger Level is always at default level(ERROR) when error handler is LoggingErrorHandler","davsclaus","mfshen","Minor","Resolved","Fixed","12/Sep/12 03:22","28/Sep/12 13:05",
"Bug",,"CAMEL-5601","12607395",,"Error handler route level is wrong","davsclaus","xlding","Minor","Resolved","Not A Problem","13/Sep/12 03:51","14/Sep/12 11:10",
"Bug",,"CAMEL-5612","12607580",,"Can not define error handler at begin of two route simultaneously","davsclaus","xlding","Minor","Resolved","Not A Problem","14/Sep/12 06:45","14/Sep/12 09:50",
"Bug",,"CAMEL-5593","12607168",,"The logger name not displayed correctly when error handler is loggingErrorHandler","davsclaus","mfshen","Minor","Resolved","Not A Problem","12/Sep/12 03:46","12/Sep/12 08:47",
"Bug",,"CAMEL-5191","12551568",,"JMX statistics problem with onException()","davsclaus","salever","Minor","Resolved","Not A Problem","19/Apr/12 02:42","29/Apr/12 14:11",
"Bug",,"CAMEL-4556","12527524",,"NettyProducer creating new connection on every message","davsclaus","maccamlc","Minor","Resolved","Fixed","18/Oct/11 00:49","08/Apr/12 12:55",
"Improvement",,"CAMEL-4760","12534468",,"Unable to set logName on DefaultErrorHandler as well as executorService on LoggingErrorHandler","davsclaus","szhemzhitsky","Minor","Resolved","Fixed","09/Dec/11 12:58","12/Dec/11 07:34",
"Bug",,"CAMEL-489","12485008",,"file component can't handle ArrayList Exchange body","davsclaus","gmazza","Minor","Closed","Won't Fix","02/May/08 01:25","23/Oct/08 20:01",
"Bug",,"CAMEL-161","12484956",,"URL link broken in org.apache.camel.Processor API doc","jstrachan","blin","Trivial","Closed","Fixed","28/Sep/07 04:04","12/May/08 07:56",
