Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,CXF-6458,12837222,CXF 3.1.0 memory leak (Tomcat),,neilw1,Major,Open,,11/Jun/15 20:04,14/Jun/18 09:08,
Improvement,CXF-7752,13163834,CVE-2018-5968 and CVE-2018-7489,deki,jhack,Major,Resolved,Fixed,04/Jun/18 13:17,05/Jun/18 11:47,
Improvement,CXF-7600,13127766,Add Automatic-Module-Name MANIFEST entry for Java 9 compatibility,reta,deki,Major,Resolved,Fixed,30/Dec/17 18:06,04/Jun/18 23:45,
Bug,CXF-7730,13155414,Swagger UI 3.5.0 is not working with apaceh cxf 3.1.10,,divya1990,Major,Resolved,Won't Fix,26/04/2018 13:44,02/Jun/18 05:23,
Bug,CXF-6455,12836853,Cannot resolve the name 'http-conf:client',sergey_beryozkin,Łukasz,Major,Closed,Fixed,10/Jun/15 15:16,17/04/2018 00:57,
Bug,CXF-7655,13139905,java2swagger maven plugin not java9 compat,ffang,davidkarlsen,Major,Closed,Fixed,21/02/2018 13:55,17/04/2018 00:57,
Bug,CXF-7675,13144278,Extra dot required when specifying base packages to scan in Java2Wadl Maven plugins,ffang,lgoldstein,Major,Closed,Fixed,12/03/2018 12:05,17/04/2018 00:57,
Improvement,CXF-7642,13137706,Split rxjava and rxjava2 modules,johndament,johndament,Major,Closed,Fixed,11/02/2018 14:19,17/04/2018 00:57,
Bug,CXF-7513,13103923,Swagger UI from CXF Swagger2Feature not working on WebLogic,,jbaris,Major,Closed,Fixed,21/Sep/17 12:36,17/04/2018 00:57,
Bug,CXF-7391,13077075,WS-RM: ISE excpetion after server reconnect,dkulp,hadrian,Major,Closed,Invalid,03/Jun/17 17:06,17/04/2018 00:57,
New Feature,CXF-7610,13130783,Manage customizations of JAXRSServerFactoryBean in JAX-RS Frontend,johndament,johndament,Major,Closed,Fixed,14/Jan/18 13:45,17/04/2018 00:56,
Bug,CXF-7358,13068556,cxf-xjc-plugin 3.1.0 for maven not generating enumerations,dkulp,jsfranko,Major,Closed,Not A Problem,02/May/17 21:12,17/04/2018 00:56,
Bug,CXF-7679,13145481,PhaseManager is not loaded in bus Extension,dkulp,satlight,Major,Closed,Not A Problem,15/03/2018 20:33,17/04/2018 00:56,
Bug,CXF-7422,13081673,Getting Bean Creation exception while building application,deki,raghuram.th,Major,Closed,Cannot Reproduce,22/Jun/17 07:09,17/04/2018 00:56,
Bug,CXF-7666,13142492,Binary multipart payload are shown even if logBinary Flag is set to false,,momo01,Major,Open,,05/03/2018 12:22,08/03/2018 07:52,
Bug,CXF-7578,13122512,WS-Trust Secured Request casts SecretKeySpec to PrivateKey,coheigea,ATNOLL_L,Major,Closed,Fixed,04/Dec/17 08:04,07/02/2018 14:52,
New Feature,CXF-7535,13110849,Support for Project Reactor as rx(),johndament,johndament,Major,Closed,Fixed,20/Oct/17 01:14,07/02/2018 14:51,
Bug,CXF-7537,13111507,Java 2 security failures - doPrivs needed to run with Java 2 security mgr,,andymc,Major,Closed,Fixed,23/Oct/17 18:46,24/Jan/18 15:02,
Bug,CXF-7049,13004059,Getting too many CLOSE_WAIT that lives forever,,niteshjain132,Major,Open,,10/Sep/16 09:07,15/Jan/18 16:26,
Bug,CXF-7498,13100709,Problem running cxf-java2swagger-plugin:3.2.0-SNAPSHOT:java2swagger,ffang,gzres,Major,Closed,Fixed,08/Sep/17 08:05,28/11/2017 10:51,
Bug,CXF-7511,13103526,cxf-wadl2java-plugin version 3.1.x and 3.2.0 fails to download wadlArtifact,ffang,jrandour,Major,Closed,Fixed,20/Sep/17 07:40,28/11/2017 10:51,
Bug,CXF-7485,13097175,Reverse proxy url is not reflected in Swagger UI response,sergey_beryozkin,nasam,Major,Closed,Fixed,23/Aug/17 23:40,28/11/2017 10:42,
New Feature,CXF-7464,13091799,add java2swagger maven plugin so that can generate swagger(json/yaml) during build time,ffang,ffang,Major,Closed,Fixed,02/Aug/17 07:39,28/11/2017 10:42,
Bug,CXF-7067,13006849,cxf-codegen-plugin version 3.1.x fails to download wsdlArtifact,deki,atokle,Major,Closed,Fixed,22/Sep/16 14:17,28/11/2017 10:42,
Bug,CXF-7564,13118369,codegen-plugin fails on wsdl2java goal,ffang,hlavki,Major,Closed,Not A Bug,14/11/2017 21:18,15/11/2017 08:30,
Bug,CXF-7540,13111918,<autoNameResolution>true</autoNameResolution> doesn't work with cxf-codegen-plugin,,ialand2,Major,Open,,25/Oct/17 09:33,25/Oct/17 09:33,
Bug,CXF-7392,13077078,WS-RM: Refresh wsrm:Identifier after service reconnect,dkulp,hadrian,Major,Closed,Fixed,03/Jun/17 17:30,01/Aug/17 16:42,
Bug,CXF-7042,13003145,review some jaxrs client defaults: thread safe and split headers,,romain.manni-bucau,Major,Open,,07/Sep/16 07:41,30/Jun/17 16:36,
Bug,CXF-6221,12769796,CDI integration extension does not detect annotations on Karaf,reta,ciapunek,Major,Closed,Fixed,24/Jan/15 01:26,10/04/2017 19:07,
Bug,CXF-4527,12609601,The import org.apache.cxf.ws.addressing.EndpointReferenceType cannot be resolved,,selliott,Major,Closed,Fixed,28/Sep/12 21:45,10/04/2017 19:07,
Bug,CXF-7083,13011373,Maven Plugins: System properties handling in ClassLoaderSwitcher breaks thread safety,dkulp,famod,Major,Closed,Fixed,11/Oct/16 14:38,10/04/2017 19:04,
Bug,CXF-7303,13060021,java.io.FileNotFoundException on JIBX binding with customization ,dkulp,kwilhelm,Major,Closed,Fixed,29/03/2017 12:43,10/04/2017 19:04,
Bug,CXF-7240,13039826,JAX-WS Dispatch incorrectly asserts that Message mode with XML/HTTP binding is invalid when using instances of DataSource,ffang,sourcesmith,Major,Closed,Fixed,02/02/2017 13:09,10/04/2017 19:04,
Bug,CXF-5772,12717020,CXF codegen plugin: Expose original wsdl through wsdlLocation generates a duplicate option exception,dkulp,arielc,Major,Closed,Cannot Reproduce,28/May/14 10:59,10/04/2017 19:04,
Bug,CXF-5733,12712804,StaxSource doesn't produce correct SAX events with default namespace,dkulp,gzres,Major,Closed,Fixed,07/May/14 10:44,31/03/2017 19:38,
Bug,CXF-4411,12598014,Maven plugin fails wsdl2java execution with concurrent modification exception,dkulp,jeroen.benckhuijsen,Major,Closed,Fixed,09/Jul/12 11:09,31/03/2017 19:38,
Bug,CXF-6581,12862175,Failed to generate types->Access is denied ,,PremCh,Major,Closed,Cannot Reproduce,07/Sep/15 08:59,31/03/2017 19:37,
Bug,CXF-4907,12637984,cxf-codegen-plugin does not work inside Eclipse with wsdlArtifact option,,jrevillard,Major,Reopened,,20/03/2013 14:13,30/03/2017 18:55,
Bug,CXF-5951,12734256,wadl2java jaxb binding bug,,lyang,Major,Open,,14/Aug/14 21:21,28/03/2017 16:13,
Bug,CXF-7142,13021478,Blueprint mandatory in OSGi,sergey_beryozkin,bmargulies,Major,Closed,Fixed,17/11/2016 14:53,22/03/2017 17:25,
Bug,CXF-7124,13017949,PackageUtils.getSharedPackageName(List<Class<?>>) has bug,sergey_beryozkin,nbqyqx@163.com,Major,Closed,Fixed,04/11/2016 05:46,22/03/2017 17:24,
Bug,CXF-7229,13037608,ClassHelper usages not replacable by ClassUnwrapper,reta,romain.manni-bucau,Major,Open,,25/Jan/17 08:04,24/02/2017 01:11,
Bug,CXF-7245,13041648,Weblogic 10.3.6 + CXF 2.7.12 : The signature or decryption was invalid,,alejacky,Major,Closed,Fixed,09/02/2017 10:20,13/02/2017 11:31,
Bug,CXF-7127,13018069,WebTarget Doesn't Set Origin Header,,jwcarman,Major,Closed,Workaround,04/11/2016 13:22,04/11/2016 14:59,
Bug,CXF-6325,12787077,java.lang.NoSuchMethodError: org.apache.cxf.jaxrs.JAXRSServerFactoryBean.addToBeans,sergey_beryozkin,ganeshk1,Major,Closed,Not A Problem,31/03/2015 16:28,21/Oct/16 18:50,
Bug,CXF-6952,12983242,Swagger2Featue not scanning CXF resources,,nitina82,Major,Closed,Not A Problem,26/Jun/16 09:26,21/Oct/16 18:50,
Bug,CXF-6746,12929817,CXF 3.1.4 doesn't work with JacksonJsonProvider 2.6.4,sergey_beryozkin,Artiom,Major,Closed,Won't Fix,13/Jan/16 13:09,21/Oct/16 18:50,
Bug,CXF-6929,12975276,Request hangs when using JAX-RS AsyncResponse and Exception mapper,,fdiebold,Major,Closed,Not A Bug,02/Jun/16 19:37,21/Oct/16 18:50,
Bug,CXF-6710,12921881,CXF depends on jax-rs 2.0.1 but provides only 2.0.0 in its karaf bundle,bmargulies,bmargulies,Major,Closed,Invalid,15/Dec/15 05:51,21/Oct/16 18:50,
Bug,CXF-6491,12843623,wadl2java produces incorrect Consumes annotation for multiple representations on POST methods,sergey_beryozkin,colorado-lynchdp,Major,Closed,Fixed,08/Jul/15 19:48,14/Oct/16 14:28,
Bug,CXF-6939,12978012,can't install cxf-http-async feature,ffang,ffang,Major,Closed,Fixed,13/Jun/16 02:59,14/Oct/16 14:22,
Improvement,CXF-6563,12859529,Various java2wadl-plugin improvements,sergey_beryozkin,ilgrosso,Major,Closed,Fixed,27/Aug/15 07:29,14/Oct/16 14:17,
Bug,CXF-6806,12945312,"don't mark the optional ""encoding"" parameter as required for cxf-java2wadl-plugin",ffang,ffang,Major,Closed,Fixed,29/02/2016 00:04,14/Oct/16 14:13,
Bug,CXF-6553,12857486,Unable to override Content-Type on GET requests,sergey_beryozkin,MrSpock,Major,Closed,Fixed,20/Aug/15 09:08,14/Oct/16 14:12,
Improvement,CXF-6509,12848890,CXF is mysterious about invalid JAX-RS bean classes,sergey_beryozkin,bmargulies,Major,Closed,Fixed,24/Jul/15 13:12,14/Oct/16 14:12,
Bug,CXF-6592,12864172,"Maven[cxf-java2wadl-plugin] when stylesheetReference are set,package ended with Nullpoint Error",sergey_beryozkin,dranix,Major,Closed,Fixed,15/Sep/15 07:59,14/Oct/16 14:12,
Bug,CXF-3404,12501478,Encoded semicolons are not correctly handled by the JAX-RS runtime,sergey_beryozkin,sergey_beryozkin,Major,Closed,Fixed,15/03/2011 16:07,28/Sep/16 15:04,
Bug,CXF-6874,12960045,NPE During Code Generation By Maven Plug-In If Name Collision,,ScottPedigo,Major,Open,,19/04/2016 16:17,19/04/2016 16:17,
Bug,CXF-2293,12428034,cxf-codegen-plugin fails with 'Mojo Execution Failed',,rcracel,Major,Closed,Cannot Reproduce,16/Jun/09 18:35,23/Jul/15 20:13,
Bug,CXF-6475,12840490,problems using CXF as a JAX-RS 2.0 client,,capalbc,Major,Closed,Invalid,25/Jun/15 10:08,26/Jun/15 00:55,
Bug,CXF-6456,12837081,maven compile: method getBackChannel in interface org.apache.cxf.transport.Destination cannot be applied to given types,,jacomac,Major,Closed,Not A Problem,11/Jun/15 08:50,12/Jun/15 08:10,
Bug,CXF-6365,12823127,Cookie format written to request headers is invalid,,matthew.kusnierz@gmail.com,Major,Closed,Invalid,22/04/2015 18:27,23/04/2015 18:08,
Bug,CXF-5894,12728516,java.lang.NoSuchFieldError: com/sun/xml/bind/v2/model/nav/Navigator.REFLECTION,dkulp,davidkarlsen@gmail.com,Major,Closed,Cannot Reproduce,21/Jul/14 11:50,16/02/2015 16:31,
Bug,CXF-6247,12773743,The signature or decryption was invalid,coheigea,nullpointer.forever,Major,Closed,Not A Problem,10/02/2015 09:05,16/02/2015 16:31,
Improvement,CXF-6238,12772029,Java2WADL : Generating response status attribute,sergey_beryozkin,bertrandR@PE,Major,Closed,Fixed,03/02/2015 14:22,16/02/2015 16:09,
Bug,CXF-6103,12755036,"Nillable field, in a json payload, was sent as ""@nil"":""true"" instead of an empty string",sergey_beryozkin,mmilesi_icteam,Major,Closed,Fixed,13/11/2014 11:15,16/02/2015 16:09,
Bug,CXF-6089,12753501,"XmlAccessorOrder.ALPHABETICAL, Exception.getMessage() duplicate WSDL elements generated",asoldano,rsearls,Major,Closed,Fixed,06/11/2014 20:48,16/02/2015 16:09,
Bug,CXF-5808,12721516,jax_rs content_negotiation test fails on successive calls,sergey_beryozkin,BaydushLC,Major,Closed,Fixed,16/Jun/14 21:31,16/02/2015 16:09,
Bug,CXF-6096,12754154,http components transport is missing a dependency on commons-logging,dkulp,bmargulies,Major,Closed,Fixed,10/11/2014 14:51,16/02/2015 16:09,
Improvement,CXF-6074,12751915,Add configured XmlAdapters,,mwinkels,Major,Closed,Fixed,31/Oct/14 08:39,16/Jan/15 22:25,
Bug,CXF-5211,12664027,Codegeneration will fail if opensaml 2.6.0 is added as dependency to the project,dkulp,davidkarlsen@gmail.com,Major,Closed,Cannot Reproduce,16/Aug/13 09:35,11/Jul/14 12:51,
New Feature,CXF-5479,12686773,Create a Maven plugin for generating WADL at build time,ffang,sergey_beryozkin,Major,Closed,Fixed,30/Dec/13 16:45,11/Jul/14 12:50,
Bug,CXF-5611,12701240,[joda-time] different versions in maven and feature descriptor,ffang,amarkevich,Major,Closed,Fixed,13/03/2014 14:16,11/Jul/14 12:50,
Bug,CXF-1140,12381209,wsdl2java failed if the schema import use the relative path to a url,dkulp,maomaode,Major,Closed,Fixed,26/Oct/07 02:24,11/Jul/14 11:18,
Bug,CXF-5397,12679952,wsdl2java marker file name can exceed 255 chars,dkulp,zdanek,Major,Closed,Duplicate,19/11/2013 13:51,07/Dec/13 12:31,
Bug,CXF-5106,12656029,Absence of specified version for xerces in cxf-codegen-plugin:2.7.1:wsdl2java causes org.apache.xerces.impl.dv.DVFactoryException: DTD factory class org.apache.xerces.impl.dv.dtd.DTDDVFactoryImpl does not extend from DTDDVFactory. ,dkulp,marjohr,Major,Closed,Not A Problem,03/Jul/13 14:44,05/Dec/13 19:05,
Bug,CXF-5389,12679406,Several maven artifacts pull in wrong versions of jaxb,dkulp,ChrisBB,Major,Closed,Not A Problem,15/11/2013 14:54,05/Dec/13 19:05,
Bug,CXF-4887,12636185,javax.ws.rs.NotFoundException at org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean.checkResources(AbstractJAXRSFactoryBean.java:319),sergey_beryozkin,rudi,Major,Closed,Not A Problem,09/03/2013 13:17,05/Dec/13 19:05,
Improvement,CXF-5169,12660867,the schema-validation-enabled property doesn't work for OUT message validation,ffang,xldai,Major,Closed,Fixed,31/Jul/13 06:59,28/11/2013 02:56,
Bug,CXF-5415,12680672,javax.management.RuntimeOperationsException when register performance mbean using cxf webclient with service name contains ?,sergey_beryozkin,ttoommbb,Major,Closed,Fixed,22/11/2013 03:02,26/11/2013 17:40,
Bug,CXF-5403,12680107,wsdl2java generating file names that are too long for encrypted filesystem,dkulp,ipsi,Major,Closed,Duplicate,20/11/2013 04:37,26/11/2013 17:40,
Bug,CXF-5421,12681157,"Servlet dependency in OAuth2 pom.xml should be with scope ""provided""",sergey_beryozkin,totof3110,Major,Closed,Fixed,25/11/2013 23:00,26/11/2013 17:17,
Bug,CXF-4873,12635314,javax.management.RuntimeOperationsException when register performance mbean using cxf webclient with an operation's uri containing some query params,sergey_beryozkin,guillaumemary,Major,Closed,Fixed,05/03/2013 10:35,22/11/2013 03:05,
Bug,CXF-5210,12663988,NullPointerException in cxf-codegen-plugin with -exsh option,,bulat_,Major,Closed,Not A Problem,16/Aug/13 05:09,19/Aug/13 04:18,
Bug,CXF-5132,12657979,Getting java.lang.NoSuchMethodError: org.apache.cxf.common.classloader.ClassLoaderUtils.loadClass(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/Class;,dkulp,balaji.sengeni,Major,Closed,Not A Problem,16/Jul/13 12:27,14/Aug/13 15:56,
Bug,CXF-5159,12659985,Classpath URI's not working using CXF XJC Maven Plugin,dkulp,logoff,Major,Closed,Duplicate,26/Jul/13 08:01,14/Aug/13 15:56,
Bug,CXF-5019,12647823,Features XML does not load up correctly,,trajano,Major,Closed,Won't Fix,15/May/13 20:57,14/Aug/13 15:56,
Bug,CXF-4951,12641350,cxf-codegen-plugin wsdlArtifact ignores classifier,ffang,yonatan,Major,Closed,Fixed,08/04/2013 11:04,14/Aug/13 15:50,
Bug,CXF-4982,12644307,Codegen maven plugin fails forked execution on Windows XP environment,ffang,jeroen.benckhuijsen,Major,Closed,Fixed,24/04/2013 08:09,14/Aug/13 15:50,
Bug,CXF-4005,12536813,Regression: Duplicated option: verbose,dkulp,davidkarlsen@gmail.com,Major,Closed,Fixed,02/Jan/12 15:09,06/May/13 15:18,
Bug,CXF-4925,12639105,OutOfMemoryError from wsdl2java with large maxOccurs values,dkulp,klavergne,Major,Closed,Invalid,26/03/2013 14:47,09/04/2013 15:19,
Bug,CXF-4823,12631945,CXF - Rampart  interoperability issue: order of signature and encrypted key elements in XML ,coheigea,sgri,Major,Closed,Fixed,12/02/2013 14:00,09/04/2013 15:15,
Bug,CXF-3023,12475766,"WSDL2Java with Xmlbeans, wrong classpath",dkulp,sebge2,Major,Closed,Fixed,04/Oct/10 14:10,09/04/2013 15:15,
Bug,CXF-3045,12476679,cxf-codgen-plugin does hot support XMLBeans generated classes/sources properly,dkulp,snicoll,Major,Closed,Fixed,06/Oct/10 14:35,09/04/2013 15:15,
Bug,CXF-4571,12611998,javax.ws.rs.WebApplicationException when creating jaxrs:server under OSGi Blueprint,sergey_beryozkin,ceefour,Major,Closed,Fixed,16/Oct/12 09:11,09/03/2013 13:25,
Bug,CXF-4757,12627793,Can't deploy CXF based service/client onto WebLogic12c,,mulderbaba,Major,Closed,Fixed,16/Jan/13 09:15,17/Jan/13 14:15,
Bug,CXF-4575,12612070,Could not find any node with XPath expression,,omiraval,Major,Closed,Invalid,16/Oct/12 17:29,19/Dec/12 14:40,
Bug,CXF-4588,12612778,cxf-codegen-plugin: Error resolving component,dkulp,fastnsilver,Major,Closed,Fixed,19/Oct/12 20:59,19/Dec/12 14:38,
Bug,CXF-4550,12610951,Wsdl2Java fails if tmp folder contains spaces,dkulp,artemsh,Major,Closed,Fixed,09/Oct/12 08:39,19/Dec/12 14:38,
Bug,CXF-4598,12613241,Error resolving inline schema references ,dkulp,deki,Major,Closed,Fixed,24/Oct/12 07:26,19/Dec/12 14:38,
Bug,CXF-4564,12611841,NPE in MavenToolErrorListener during wsdl2java code generation,dkulp,deki,Major,Closed,Fixed,15/Oct/12 14:52,19/Dec/12 14:38,
Bug,CXF-4481,12604330,unable to generate WADL to java ,sergey_beryozkin,ybaba,Major,Closed,Fixed,22/Aug/12 06:21,08/11/2012 17:15,
Bug,CXF-4388,12595071,Using wsdl2java maven goal with <wsdl> and <wsdlArtifact> in the same pom fails,dkulp,andersolsson,Major,Closed,Fixed,19/Jun/12 09:09,08/11/2012 17:14,
Improvement,CXF-4152,12544822,Make cxf-codegen-plugin m2e compatible,dkulp,sslavic,Major,Closed,Fixed,01/03/2012 18:46,24/Oct/12 09:03,
Improvement,CXF-4424,12598946,Option for codegen plugin to fork in order to support endorsed libs,dkulp,davidkarlsen@gmail.com,Major,Closed,Fixed,16/Jul/12 11:02,28/Aug/12 17:46,
Bug,CXF-4351,12558681,No JSON output under OSGi because cxf-rt-frontend-jaxrs is missing Import-Package for org.apache.cxf.jaxrs.provider.json,,cdolan,Major,Closed,Fixed,30/May/12 22:09,28/Aug/12 17:44,
Bug,CXF-2450,12436741,WSDL2java uses system encoding when generating java classes,dkulp,hamulka,Major,Closed,Fixed,28/Sep/09 08:13,17/Jul/12 13:42,
Bug,CXF-4406,12597414,"""Couldn't parse stream"" while receiving message when service provider is under load",,mmartynas,Major,Closed,Not A Problem,04/Jul/12 08:34,11/Jul/12 14:35,
Improvement,CXF-4290,12554096,Allow user-specified classloader for JAXRSClientFactory,sergey_beryozkin,cdolan,Major,Closed,Fixed,06/May/12 21:09,05/Jun/12 13:31,
Bug,CXF-4291,12554116,Wadl2java tool executing by cxf-wadl2java-plugin fails if run without tuning JAVA Garbage Collection,sergey_beryozkin,cromody,Major,Closed,Fixed,07/May/12 07:21,05/Jun/12 13:31,
Bug,CXF-4002,12536730,Cannot override read-only parameter: classesDirectory in goal: cxf-codegen:wsdl2java,dkulp,longbeach,Major,Closed,Fixed,31/Dec/11 10:08,05/Jun/12 13:31,
Bug,CXF-2937,12471290,character encoding in cxf-codegen is wrong,dkulp,mgoldhahn,Major,Closed,Fixed,11/Aug/10 13:33,05/Jun/12 13:31,
Improvement,CXF-4070,12540026,"cxf-codegen-plugin, wsdlto : troublesome exception during generate jax-ws binding when node is not exist",dkulp,artur.wojcik,Major,Closed,Won't Fix,27/Jan/12 11:39,23/04/2012 16:47,
Bug,CXF-4068,12540011,cxf-codegen-plugin : wsdlLocation option is not used when set in defaultOptions,dkulp,spydesk@gmail.com,Major,Closed,Fixed,27/Jan/12 09:26,23/04/2012 16:45,
Bug,CXF-4222,12549277,ClientProxy fails to get resolve in Websphere AS 7.00.21,,dilipmd,Major,Closed,Invalid,03/04/2012 05:47,03/04/2012 09:11,
Bug,CXF-4004,12536812,2.5.1 regression: Duplicate code generation with fluent plugin,dkulp,davidkarlsen@gmail.com,Major,Closed,Fixed,02/Jan/12 15:02,07/02/2012 21:51,
Bug,CXF-4029,12538316,cxf-codegen-plugin doesn't generate any code code when the wsdl parameter is an url,dkulp,svenrienstra,Major,Closed,Fixed,13/Jan/12 13:21,07/02/2012 21:50,
Bug,CXF-3954,12533897,Could not obtain STS metadata. MEX call failed,,jan4talend,Major,Closed,Not A Problem,05/Dec/11 16:29,06/Dec/11 08:34,
Bug,CXF-3886,12529055,Maven Config Error,dkulp,jan4talend,Major,Closed,Fixed,27/Oct/11 14:19,01/11/2011 02:11,
Bug,CXF-2683,12457170,client fails under java2 security policy in spi.Provider.provider using FactoryFinder,dkulp,bord,Major,Closed,Fixed,23/02/2010 15:46,01/11/2011 02:11,
Bug,CXF-3862,12527699,BindingCustomization does not work for the wsdl url like file://home/usr/../../wsdl/helloworld.wsdl,ema,ema,Major,Closed,Fixed,19/Oct/11 04:33,01/11/2011 02:11,
Bug,CXF-3854,12526632,java.lang.StringIndexOutOfBoundsException is thrown when generating sources for a WADL with WADL2Java Maven plugin,sergey_beryozkin,particle,Major,Closed,Fixed,11/Oct/11 09:57,01/11/2011 02:11,
Bug,CXF-3773,12520540,CXF unregisters MBeans for JAX-WS endpoints twice,ay,drzewo,Major,Closed,Fixed,29/Aug/11 08:59,19/Oct/11 17:30,
